indicativo,nombre,provincia,indsinop,latitud,longitud,altitud
9016X,"VALDERREDIBLE, CUBILLO DE EBRO",CANTABRIA,,424835N,040156W,770
9019B,"VALDERREDIBLE, POLIENTES",CANTABRIA,08033,424822N,035602W,720
9027X,SARGENTES DE LA LORA,BURGOS,,424449N,035304W,1017
9031C,BRIVIESCA,BURGOS,,423334N,031832W,730
9051,MEDINA DE POMAR,BURGOS,08063,425512N,032858W,580
9060X,LALASTRA,ARABA/ALAVA,,425231N,031354W,910
9069C,MIRANDA DE EBRO,BURGOS,,424114N,025738W,460
9073X,"AGURAIN/SALVATIERRA, OPAKUA",ARABA/ALAVA,,424947N,022135W,660
9087,VITORIA AERÓDROMO,ARABA/ALAVA,,425059N,023922W,521
9091O,FORONDA-TXOKIZA,ARABA/ALAVA,08080,425255N,024406W,513
9091R,VITORIA-GASTEIZ AEROPUERTO,ARABA/ALAVA,08080,425219N,024358W,513
9111,BELORADO,BURGOS,08077,422516N,031013W,820
9115X,VALDEZCARAY,LA RIOJA,,421518N,025805W,1630
9121X,HARO,LA RIOJA,,423431N,025117W,465
9122I,LABASTIDA,ARABA/ALAVA,,423614N,024636W,612
9136X,"ANGUIANO, VALVANERA",LA RIOJA,,421351N,025216W,1006
9141V,NÁJERA,LA RIOJA,,422451N,024336W,500
9145X,LEZA,ARABA/ALAVA,,423402N,023758W,575
9145Y,CENICERO,LA RIOJA,,422858N,023822W,429
9170,"LOGROÑO, AEROPUERTO",LA RIOJA,08084,422708N,021952W,353
9171K,LOS ARCOS,NAVARRA,,423413N,021102W,470
9178X,CAMPEZO/KANPEZU,ARABA/ALAVA,,424014N,022046W,570
9188,ENCISO,LA RIOJA,,420858N,021624W,855
9195C,"ASTÚN, LA RACA",HUESCA,08909,424735N,003019W,2276
9198X,CANFRANC,HUESCA,,424458N,003058W,1197
9201K,JACA,HUESCA,08091,423444N,003249W,823
9201X,JACA,HUESCA,08091,423447N,003242W,832
9207,"VALLE DE HECHO, HECHO",HUESCA,,424426N,004502W,860
9208E,ARAGÜÉS DEL PUERTO,HUESCA,08095,424231N,004022W,1025
9211F,"BAILO, PUYALTO",HUESCA,,423051N,004902W,722
9218A,ISABA/IZABA,NAVARRA,,425145N,005529W,838
9228J,OROZ-BETELU/OROTZ-BETELU,NAVARRA,,425346N,011801W,635
9228T,RONCESVALLES/ORREAGA,NAVARRA,,430028N,011932W,947
9238X,NAVASCUÉS/NABASKOZE,NAVARRA,,424303N,010702W,612
9244X,SOS DEL REY CATÓLICO,ZARAGOZA,08090,422927N,011248W,626
9245X,CÁSEDA,NAVARRA,,423117N,012159W,440
9252X,OLITE/ERRIBERRI,NAVARRA,,422921N,013920W,390
9257X,"ESTERIBAR, EMBALSE DE EUGI",NAVARRA,,425814N,013101W,615
9262,PAMPLONA,NAVARRA,,424904N,013818W,450
9262P,MONREAL/ELO,NAVARRA,,424204N,012944W,585
9263D,"PAMPLONA, AEROPUERTO",NAVARRA,08085,424637N,013900W,459
9263X,"ARANGUREN, ILUNDAIN",NAVARRA,08089,424634N,013157W,572
9274X,IRURTZUN,NAVARRA,,425508N,015006W,432
9280B,LARRAGA,NAVARRA,,423258N,015127W,375
9283X,CADREITA,NAVARRA,08153,421225N,014241W,268
9287A,SAN PEDRO MANRIQUE,SORIA,,420135N,021351W,1096
9293X,"ALFARO, LA PLANA",LA RIOJA,,421034N,014438W,371
9294E,"BARDENAS REALES, BASE AÉREA",NAVARRA,08087,421155N,012831W,295
9299X,TARAZONA,ZARAGOZA,,415454N,014324W,475
9301X,MONTEAGUDO,NAVARRA,,415732N,014126W,410
9302Y,TUDELA,NAVARRA,,420320N,013634W,297
9321X,EJEA DE LOS CABALLEROS,ZARAGOZA,,420716N,010823W,321
9336D,CASTEJON DE VALDEJASA,ZARAGOZA,,415903N,005945W,543
9344C,ARCOS DE JALÓN,SORIA,,411259N,021735W,863
9352A,ALMAZUL,SORIA,,413429N,020825W,1000
9354X,ALHAMA DE ARAGON,ZARAGOZA,,411735N,015343W,703
9374X,SANTA EULALIA DEL CAMPO,TERUEL,,403400N,011915W,1000
9377Y,EL PEDREGAL,GUADALAJARA,,404643N,013406W,1185
9381,"CALAMOCHA, AERÓDROMO",TERUEL,,405154N,011818W,932
9381I,CALAMOCHA,TERUEL,08233,405534N,011736W,884
9390,DAROCA,ZARAGOZA,08157,410652N,012436W,774
9394X,CALATAYUD,ZARAGOZA,08156,411952N,013843W,582
9427X,LA ALMUNIA DE DOÑA GODINA,ZARAGOZA,,412852N,012251W,370
9434,"ZARAGOZA, AEROPUERTO",ZARAGOZA,08160,413938N,010015W,249
9434P,"ZARAGOZA, VALDESPARTERA",ZARAGOZA,08159,413716N,005605W,258
9436X,FONFRÍA,TERUEL,,405943N,010515W,1255
9445L,"FORMIGAL, SARRIOS",HUESCA,08096,424545N,002334W,1800
9451F,"PANTICOSA, PETROSOS",HUESCA,08915,424216N,001631W,1850
9453X,"BIESCAS, EMBALSE DE BÚBAL",HUESCA,,424157N,001908W,1100
9460X,SABIÑÁNIGO,HUESCA,,423046N,002120W,775
9491X,ALMUDÉVAR,HUESCA,,420146N,003509W,390
9495Y,LECIÑENA,ZARAGOZA,,414748N,003702W,405
9501X,VALMADRID,ZARAGOZA,,412635N,005309W,535
9510X,QUINTO,ZARAGOZA,,412545N,003014W,205
9513X,MUNIESA,TERUEL,,410152N,004820W,800
9531Y,MONTALBÁN,TERUEL,,404943N,004734W,895
9546B,HIJAR,TERUEL,,411019N,002631W,305
9550C,"ANDORRA, HORCALLANA",TERUEL,,405828N,002428W,762
9561X,CASTELLOTE,TERUEL,,404754N,001855W,755
9562X,MORELLA,CASTELLON,,403718N,000607W,990
9563X,CASTELLFORT,CASTELLON,08237,402955N,001112W,1220
9569A,CALANDA,TERUEL,08166,405648N,001416W,466
9573X,ALCAÑIZ,TERUEL,08164,410329N,000830W,334
9574B,"CASPE, PLANA DEL PILÓN",ZARAGOZA,08165,411433N,000407W,215
9576C,BUJARALOZ,ZARAGOZA,08165,413119N,001027W,357
9585,LA MOLINA,GIRONA,08117,421957N,015622E,1699
9590,MARTINET,LLEIDA,,422144N,014136E,1038
9590D,CAP DE REC,LLEIDA,08940,422549N,014003E,1940
9619,LA SEU D'URGELL,LLEIDA,08115,422117N,012746E,677
9632X,TUIXENT,LLEIDA,,421349N,013410E,1196
9638D,COLL DE NARGÓ,LLEIDA,,420916N,011843E,609
9647X,TORÀ,LLEIDA,,414821N,012344E,435
9650X,ARTESA DE SEGRE,LLEIDA,,415253N,010631E,400
9657X,ESTERRI D'ÀNEU,LLEIDA,,423730N,010734E,952
9660,SANT MAURICI (LLAC),LLEIDA,,423451N,010027E,1907
9677,PORT AINÉ,LLEIDA,08938,422436N,011253E,2410
9689X,TORRE DE CABDELLA,LLEIDA,,422759N,005927E,1273
9698U,TALARN,LLEIDA,08112,421217N,005153E,807
9707,LLIMIANA,LLEIDA,,420401N,005426E,515
9718X,TORDERA - GRANYANELLA,LLEIDA,,414052N,011323E,463
9720X,TÀRREGA,LLEIDA,08173,413902N,010858E,388
9724X,OS DE BALAGUER,LLEIDA,,415224N,004522E,520
9726E,LLORAC,TARRAGONA,,413326N,011834E,657
9729X,MOLLERUSSA,LLEIDA,,413701N,005160E,252
9744B,VALL DE BOÍ,LLEIDA,,423012N,004756E,1089
9751,SOPEIRA,HUESCA,,421907N,004449E,760
9756X,BENABARRE,HUESCA,,420645N,002848E,765
9771,"LLEIDA, OBSERVATORIO",LLEIDA,,413702N,003716E,199
9771C,LLEIDA,LLEIDA,08171,413734N,003553E,186
9772X,LA POBLA DE CÉRVOLES,LLEIDA,,412158N,005449E,673
9775X,EL SOLERÀS,LLEIDA,,412449N,004042E,392
9776D,ELS TORMS,LLEIDA,,412338N,004405E,495
9784P,BIELSA,HUESCA,08103,423748N,001329E,992
9808X,"AÍNSA-SOBRARBE, LA SERRETA",HUESCA,,422518N,000817E,610
9812M,"PARADOR DE ORDESA, PARQUE NACIONAL ORDESA Y MONTEPERDIDO",HUESCA,,423919N,000557W,1206
9814A,TORLA,HUESCA,08101,423736N,000642W,1020
9814I,"TORLA-ORDESA, EL CEBOLLAR",HUESCA,08919,423922N,000728W,1905
9814X,TORLA - ORDESA,HUESCA,,423815N,000643W,1076
9838B,BENASQUE,HUESCA,,423558N,003114E,1120
9839V,"CERLER, COGULLA",HUESCA,08923,423318N,003235E,2374
9843A,SEIRA,HUESCA,,422837N,002603E,825
9855E,"CAPELLA, LAGUARRES",HUESCA,,421205N,002758E,600
9866C,BARBASTRO,HUESCA,,420117N,000826E,305
9894Y,SARIÑENA,HUESCA,,414757N,000939W,300
9898,"HUESCA, AEROPUERTO",HUESCA,08094,420504N,001932W,546
9901X,HUESCA,HUESCA,,420820N,002342W,463
9908X,LANAJA,HUESCA,,414626N,001959W,380
9911X,BALLOBAR,HUESCA,,413710N,001116E,178
9918Y,"TAMARITE DE LITERA, LA MELUSA",HUESCA,,414651N,002237E,218
9924X,FRAGA,HUESCA,,413129N,002120E,170
9935X,VALDERROBRES,TERUEL,,405224N,000847E,483
9946X,HORTA DE SANT JOAN,TARRAGONA,,405711N,001842E,495
9947X,LA POBLA DE MASSALUCA,TARRAGONA,,411038N,002112E,370
9961X,CABACÉS,TARRAGONA,,411458N,004407E,363
9975X,RASQUERA,TARRAGONA,,410018N,003649E,112
9981A,ESTACIÓN DE TORTOSA (ROQUETES),TARRAGONA,08238,404913N,002936E,50
9987P,SANT JAUME D'ENVEJA,TARRAGONA,,404157N,004835E,1
9988B,CAP DE VAQUÈIRA,LLEIDA,08936,424131N,005826E,2467
9990X,"NAUT ARAN, ARTIES",LLEIDA,08107,424201N,005237E,1161
9994X,BOSSÒST,LLEIDA,,424634N,004123E,722
9995Y,VALCARLOS/LUZAIDE,NAVARRA,,430528N,011803W,334
9998X,BELLO,TERUEL,,405517N,012940W,1006
